categoria,hospital,provincia,canton,distrito,latitud,longitud,Pruebas,poblacion
Nacional,Hospital San Juan de Dios,San Jose,San Jose,Hospital,9.9336,-84.0861,41818,131929
Regional,Hospital Maximiliano Peralta Jimenez,Cartago,Central,Occidental,9.8645,-83.9194,54073,170588
Regional,Hospital San Vicente de Paul,Heredia,Central,Mercedes,9.9981,-84.1175,26510,83633
Regional,Hospital San Rafael,Alajuela,Central,San Jose,10.0169,-84.2141,58914,185862
Regional,Hospital Enrique Baltodano Briceño,Guanacaste,Liberia,Liberia,10.6346,-85.44,15940,50286
Regional,Hospital Fernando Escalante Pradilla,San Jose,Perez Zeledon,San Isidro de El General,9.3726,-83.7034,2580,8138
Regional,Hospital Victor Manuel Sanabria Martinez,Puntarenas,Central,Chacarita,9.9701,-84.8295,4234,13358
